,Septwolves market price,Septwolves sugessted price,Ruan Yuxi market price,Ruan Yuxi suggested price,Ying Furong market price,Ying Furong suggested price,
2016,185,185.5,198,201.4,222,218.36,
2016,184,185.5,198,201.4,222,218.36,
2016,182,185.5,198,201.4,222,218.36,
2016,182,185.5,198,201.4,223,218.36,
2016,182,185.5,198,201.4,222,218.36,
2016,183,185.5,198,201.4,223,218.36,
2016,185,185.5,198,201.4,223,218.36,
2016,185,185.5,198,201.4,223,218.36,
2016,185,185.5,198,201.4,222,218.36,
2016,185,185.5,198,201.4,221,218.36,
2016,186,185.5,198,201.4,221,218.36,
2016,186,185.5,198,201.4,220,218.36,
2016,186,185.5,198,201.4,220,218.36,
2016,186,185.5,198,201.4,221,218.36,
2016,186,185.5,198,201.4,222,218.36,
2016,186,185.5,198,201.4,222,218.36,
2016,187,185.5,198,201.4,222,218.36,
2016,187,185.5,198,201.4,220,218.36,
2016,188,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,220,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,220,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187,185.5,198,201.4,221,218.36,
2016,187.5,185.5,198,201.4,220,218.36,
2016,188,185.5,200,201.4,220,218.36,
2016,188,185.5,200,201.4,220,218.36,
2016,188,185.5,200,201.4,221,218.36,
2016,188,185.5,200,201.4,220,218.36,
2016,188,185.5,200,201.4,220,218.36,
2016,188,185.5,200,201.4,221,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,219,218.36,
2016,186.5,185.5,200,201.4,218,218.36,
2016,186,185.5,200,201.4,220,218.36,
2016,186,185.5,200,201.4,220,218.36,
2016,186,185.5,200,201.4,220,218.36,
2016,186,185.5,200,201.4,218,218.36,
2016,186,185.5,200,201.4,220,218.36,
2016,187,185.5,200,201.4,220,218.36,
2016,189,185.5,200,201.4,221,218.36,
2017,188,185.5,200,201.4,220,218.36,
2017,186,185.5,200,201.4,220,218.36,
2017,185,185.5,200,201.4,221,218.36,
2017,184,185.5,200,201.4,221,218.36,
2017,184,185.5,200,201.4,222,218.36,
2017,186,185.5,200,201.4,222,218.36,
2017,186,185.5,200,201.4,222,218.36,
2017,185,185.5,200,201.4,220,218.36,
2017,185,185.5,200,201.4,219,218.36,
2017,185,185.5,200,201.4,219,218.36,
2017,186,185.5,200,201.4,219,218.36,
2017,185,185.5,200,201.4,220,218.36,
2017,185,185.5,200,201.4,220,218.36,
2017,185,185.5,200,201.4,220,218.36,
2017,185,185.5,200,201.4,222,218.36,
2017,186,185.5,200,201.4,223,218.36,
2017,186,185.5,200,201.4,223,218.36,
2017,187,185.5,200,201.4,222,218.36,
2017,187,185.5,200,201.4,222,218.36,
2017,187,185.5,200,201.4,222,218.36,
2017,187,185.5,200,201.4,222,218.36,
2017,187,185.5,200,201.4,221,218.36,
2017,187,185.5,200,201.4,222,218.36,
2017,188,185.5,200,201.4,221,218.36,
2017,189,185.5,200,201.4,221,218.36,
2017,188,185.5,200,201.4,221,218.36,
2017,188,185.5,200,201.4,221,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,222,218.36,
2017,189,185.5,200,201.4,221,218.36,
2017,190,185.5,200,201.4,221,218.36,
2017,191,185.5,200,201.4,222,218.36,
2017,191,185.5,200,201.4,223,218.36,
2017,191,185.5,200,201.4,223,218.36,
2017,191,185.5,200,201.4,222,218.36,
2017,192,185.5,200,201.4,222,218.36,
2017,192,185.5,200,201.4,222,218.36,
2017,195,185.5,200,201.4,225,218.36,
2017,196,185.5,200,201.4,224,218.36,
2017,196,185.5,200,201.4,224,218.36,
2017,196,185.5,200,201.4,224,218.36,
2017,198,185.5,200,201.4,224,218.36,
2017,198,185.5,200,201.4,225,218.36,
2017,198,185.5,200,201.4,225,218.36,
2017,198,185.5,203,201.4,228,218.36,
2017,198,185.5,203,201.4,233,218.36,
2017,198,185.5,203,201.4,230,218.36,
2017,198,185.5,203,201.4,230,218.36,
2017,198,185.5,203,201.4,230,218.36,
2018,198,185.5,203,201.4,232,218.36,
2018,185,185.5,203,201.4,223,218.36,
2018,185,185.5,203,201.4,223,218.36,
2018,186,185.5,203,201.4,223,218.36,
2018,186,185.5,203,201.4,223,218.36,
2018,186,185.5,203,201.4,225,218.36,
2018,186,185.5,203,201.4,227,218.36,
2018,186,185.5,203,201.4,227,218.36,
2018,186,185.5,202,201.4,230,218.36,
2018,186,185.5,202,201.4,224,218.36,
2018,186,185.5,202,201.4,222,218.36,
2018,186,185.5,202,201.4,222,218.36,
2018,186,185.5,202,201.4,221,218.36,
2018,187,185.5,202,201.4,221,218.36,
2018,187,185.5,202,201.4,222,218.36,
2018,188,185.5,202,201.4,222,218.36,
2018,188,185.5,202,201.4,222,218.36,
2018,188,185.5,202,201.4,222,218.36,
2018,188,185.5,202,201.4,222,218.36,
2018,189,185.5,202,201.4,224,218.36,
2018,190,185.5,202,201.4,224,218.36,
2018,190,185.5,202,201.4,224,218.36,
2018,193,185.5,202,201.4,228,218.36,
2018,195,185.5,202,201.4,228,218.36,
2018,196,185.5,202,201.4,228,218.36,
2018,196,185.5,202,201.4,230,218.36,
2018,195,185.5,202,201.4,229,218.36,
2018,195,185.5,202,201.4,230,218.36,
2018,195,185.5,202,201.4,226,218.36,
2018,197,185.5,202,201.4,226,218.36,
2018,197,185.5,202,201.4,227,218.36,
2018,197,185.5,202,201.4,228,218.36,
2018,197,185.5,202,201.4,227,218.36,
2018,197,185.5,202,201.4,228,218.36,
2018,197,185.5,202,201.4,228,218.36,
2018,198,185.5,202,201.4,228,218.36,
2018,198,185.5,202,201.4,227,218.36,
2018,198,185.5,202,201.4,227,218.36,
2018,198,185.5,202,201.4,228,218.36,
2018,200,185.5,202,201.4,228,218.36,
2018,200,185.5,202,201.4,228,218.36,
2018,200,185.5,202,201.4,227,218.36,
2018,200,185.5,202,201.4,227,218.36,
2018,201,185.5,202,201.4,226,218.36,
2018,202,185.5,202,201.4,226,218.36,
2018,202,185.5,202,201.4,227,218.36,
2018,202,185.5,202,201.4,227,218.36,
2018,202,185.5,202,201.4,227,218.36,
2018,202,185.5,202,201.4,228,218.36,
2018,202,185.5,202,201.4,228,218.36,
2018,205,185.5,202,201.4,228,218.36,
2018,205,185.5,202,201.4,228,218.36,
2019,192,185.5,202,201.4,227,218.36,
2019,190,185.5,202,201.4,227,218.36,
2019,190,185.5,202,201.4,227,218.36,
2019,190,185.5,202,201.4,227,218.36,
2019,192,185.5,202,201.4,227,218.36,
2019,192,185.5,202,201.4,230,218.36,
2019,192.5,185.5,202,201.4,228,218.36,放假停报
2019,193,185.5,202,201.4,226,218.36,
2019,192,185.5,202,201.4,226,218.36,
2019,192,185.5,202,201.4,224,218.36,
2019,192,185.5,202,201.4,224,218.36,
2019,192,185.5,202,201.4,224,218.36,
2019,191,185.5,202,201.4,223,218.36,
2019,191,185.5,202,201.4,223,218.36,
2019,191,185.5,202,201.4,223,218.36,
2019,192,185.5,202,201.4,223,218.36,
2019,192,185.5,202,201.4,223,218.36,
2019,192,185.5,202,201.4,223,218.36,
2019,192,185.5,202,201.4,225,218.36,
2019,192,185.5,202,201.4,225,218.36,
2019,195,185.5,202,201.4,226,218.36,
2019,195,185.5,202,201.4,227,218.36,
2019,195,185.5,202,201.4,227,218.36,
2019,196,185.5,202,201.4,228,218.36,
2019,199,185.5,202,201.4,228,218.36,
2019,199,185.5,202,201.4,228,218.36,
2019,199,185.5,202,201.4,229,218.36,
2019,199,185.5,202,201.4,228,218.36,
2019,202,185.5,202,201.4,228,218.36,
2019,202,185.5,202,201.4,227,218.36,
2019,202,185.5,202,201.4,227,218.36,
2019,202,185.5,202,201.4,227,218.36,
2019,202,185.5,202,201.4,229,218.36,
2019,202,185.5,202,201.4,229,218.36,
2019,202,185.5,202,201.4,228,218.36,
2019,202,185.5,202,201.4,229,218.36,
2019,202,185.5,202,201.4,230,218.36,
2019,200,185.5,202,201.4,230,218.36,
2019,199,185.5,202,201.4,229,218.36,
2019,202,185.5,202,201.4,229,218.36,
2019,202,185.5,202,201.4,229,218.36,
2019,202,185.5,202,201.4,232,218.36,
2019,202,185.5,202,201.4,232,218.36,
2019,202,185.5,202,201.4,232,218.36,
2019,204,185.5,210,201.4,232,218.36,
2019,204,185.5,210,201.4,232,218.36,
2019,204,185.5,210,201.4,233,218.36,
2019,204,185.5,210,201.4,232,218.36,
2019,202,185.5,210,201.4,230,218.36,
2019,204,185.5,210,201.4,233,218.36,
2019,200,185.5,210,201.4,233,218.36,
2019,198,185.5,210,201.4,234,218.36,
2019,200,185.5,210,201.4,237,218.36,
2020,197,185.5,210,201.4,236,218.36,
2020,193,185.5,205,201.4,230,218.36,
2020,190,185.5,205,201.4,229,218.36,
2020,192,185.5,205,201.4,230,218.36,
2020,193.5,185.5,205,201.4,231.5,218.36,放假停报
2020,195,185.5,205,201.4,233,218.36,
2020,195,185.5,205,201.4,232,218.36,
2020,195,185.5,205,201.4,232,218.36,
2020,195,185.5,205,201.4,232,218.36,
2020,195,185.5,205,201.4,222,218.36,
2020,195,185.5,205,201.4,223,218.36,
2020,193,185.5,205,201.4,223,218.36,
2020,193,185.5,205,201.4,223,218.36,
2020,193,185.5,205,201.4,223,218.36,
2020,193,185.5,205,201.4,223,218.36,
2020,193,185.5,205,201.4,223,218.36,
2020,193,185.5,205,201.4,223,218.36,
2020,193,185.5,205,201.4,223,218.36,
2020,193,185.5,205,201.4,224,218.36,
2020,194,185.5,205,201.4,224,218.36,
2020,195,185.5,205,201.4,224,218.36,
2020,195,185.5,205,201.4,224,218.36,
2020,196,185.5,205,201.4,224,218.36,
2020,197,185.5,205,201.4,224,218.36,
2020,197,185.5,205,201.4,223,218.36,
2020,198,185.5,205,201.4,223,218.36,
2020,198,185.5,205,201.4,225,218.36,
2020,199,185.5,205,201.4,224,218.36,
2020,199,185.5,205,201.4,224,218.36,
2020,199,185.5,205,201.4,224,218.36,
2020,199,185.5,205,201.4,224,218.36,
2020,199,185.5,205,201.4,224,218.36,
2020,199,185.5,205,201.4,225,218.36,
2020,199,185.5,205,201.4,226,218.36,
2020,199,185.5,205,201.4,226,218.36,
2020,199,185.5,205,201.4,226,218.36,
2020,199,185.5,205,201.4,226,218.36,
2020,198,185.5,205,201.4,226,218.36,
2020,198,185.5,205,201.4,226,218.36,
2020,198.5,185.5,205,201.4,226.5,218.36,放假停报
2020,199,185.5,205,201.4,227,218.36,
2020,199,185.5,205,201.4,227,218.36,
2020,200,185.5,205,201.4,227,218.36,
2020,202,185.5,205,201.4,228,218.36,
2020,203,185.5,205,201.4,228,218.36,
2020,203,185.5,205,201.4,228,218.36,
2020,202,185.5,205,201.4,228,218.36,
2020,202,185.5,205,201.4,229,218.36,
2020,202,185.5,205,201.4,229,218.36,
2020,202,185.5,205,201.4,229,218.36,
2020,203,185.5,205,201.4,230,218.36,
2020,204,185.5,205,201.4,230,218.36,
2021,204,185.5,205,201.4,230,218.36,
2021,193,185.5,205,201.4,223,218.36,
2021,194,185.5,200,201.4,223,218.36,
2021,192,185.5,200,201.4,223,218.36,
2021,191,185.5,200,201.4,223,218.36,
2021,192,185.5,200,201.4,223,218.36,
2021,192,185.5,200,201.4,225,218.36,
2021,192,185.5,200,201.4,225,218.36,
2021,192,185.5,200,201.4,225,218.36,
2021,193,185.5,200,201.4,225,218.36,
2021,195,185.5,200,201.4,225,218.36,
2021,196,185.5,200,201.4,225,218.36,
2021,196,185.5,200,201.4,225,218.36,
2021,197,185.5,200,201.4,225,218.36,
2021,196,185.5,200,201.4,225,218.36,
2021,196,185.5,200,201.4,225,218.36,
2021,196,185.5,200,201.4,225,218.36,
2021,196,185.5,200,201.4,225,218.36,
2021,196,185.5,200,201.4,227,218.36,
2021,197,185.5,203,201.4,228,218.36,
2021,199,185.5,203,201.4,228,218.36,
2021,200,185.5,203,201.4,228,218.36,
2021,200,185.5,203,201.4,228,218.36,
2021,200,185.5,203,201.4,228,218.36,
2021,200,185.5,205,201.4,228,218.36,
2021,202,185.5,205,201.4,228,218.36,
2021,203,185.5,205,201.4,228,218.36,
2021,203,185.5,205,201.4,228,218.36,
2021,203,185.5,205,201.4,228,218.36,
2021,203,185.5,205,201.4,228,218.36,
2021,203,185.5,205,201.4,228,218.36,
2021,203,185.5,205,201.4,228,218.36,
2021,203,185.5,205,201.4,228,218.36,
2021,204,185.5,205,201.4,228,218.36,
2021,205,185.5,205,201.4,228,218.36,
2021,204,185.5,205,201.4,228,218.36,
2021,205,185.5,205,201.4,230,218.36,
2021,205,185.5,205,201.4,230,218.36,
2021,205,185.5,205,201.4,230,218.36,
2021,205,185.5,205,201.4,230,218.36,
2021,205,185.5,205,201.4,232,218.36,
2021,205,185.5,205,201.4,232,218.36,
2021,206,185.5,205,201.4,232,218.36,
2021,206,185.5,205,201.4,232,218.36,
2021,207,185.5,205,201.4,232,218.36,
2021,208,185.5,205,201.4,232,218.36,
2021,210,185.5,205,201.4,232,218.36,
2021,210,185.5,205,201.4,232,218.36,
2021,208,185.5,205,201.4,233,218.36,